"issueKey","status","startDate","endDate","hoursSpent"
"CS-844","In Progress","2025-09-09T12:54:58.711Z","2025-09-09T14:21:02.057Z","1.43"
"CS-843","In Progress","2025-09-09T08:56:16.635Z","2025-09-09T12:32:53.690Z","3.61"
"CS-843","Testing/Review","2025-09-09T12:32:53.690Z","2025-09-09T14:21:02.064Z","1.80"
"CS-842","In Progress","2025-09-08T10:45:57.718Z","2025-09-08T11:47:26.214Z","1.02"
"CS-842","Testing/Review","2025-09-08T11:47:26.214Z","2025-09-09T12:54:59.658Z","25.13"
"CS-841","In Progress","2025-09-08T08:56:30.122Z","2025-09-08T13:00:35.377Z","4.07"
"CS-841","Testing/Review","2025-09-08T13:00:35.377Z","2025-09-09T14:21:02.064Z","25.34"
"CS-839","In Progress","2025-09-08T16:37:02.407Z","2025-09-09T06:05:19.131Z","13.47"
"CS-839","Testing/Review","2025-09-09T06:05:19.131Z","2025-09-09T14:21:02.064Z","8.26"
"CS-838","In Progress","2025-09-08T09:15:38.246Z","2025-09-09T14:21:02.064Z","29.09"
"CS-837","In Progress","2025-09-08T05:49:42.660Z","2025-09-08T06:17:40.599Z","0.47"
"CS-837","Testing/Review","2025-09-08T06:17:40.599Z","2025-09-08T07:14:05.136Z","0.94"
"CS-836","In Progress","2025-09-08T05:17:04.287Z","2025-09-08T06:17:52.247Z","1.01"
"CS-836","Testing/Review","2025-09-08T06:17:52.247Z","2025-09-08T07:14:03.459Z","0.94"
"CS-835","In Progress","2025-09-07T18:41:53.766Z","2025-09-07T18:41:56.673Z","0.00"
"CS-834","In Progress","2025-09-05T10:15:57.178Z","2025-09-05T13:43:10.734Z","3.45"
"CS-834","Testing/Review","2025-09-05T13:43:10.734Z","2025-09-07T18:39:03.833Z","52.93"
"CS-833","In Progress","2025-09-05T10:00:06.338Z","2025-09-05T13:44:12.804Z","3.74"
"CS-833","Testing/Review","2025-09-05T13:44:12.804Z","2025-09-08T06:02:35.565Z","64.31"
"CS-832","In Progress","2025-09-07T18:39:08.492Z","2025-09-07T18:39:10.842Z","0.00"
"CS-831","In Progress","2025-09-04T12:58:38.219Z","2025-09-04T13:04:04.453Z","0.09"
"CS-831","Testing/Review","2025-09-04T13:04:04.453Z","2025-09-04T14:18:14.740Z","1.24"
"CS-830","In Progress","2025-09-08T06:01:19.946Z","2025-09-08T06:01:23.243Z","0.00"
"CS-829","In Progress","2025-09-04T07:59:50.201Z","2025-09-04T12:57:47.061Z","4.97"
"CS-829","Testing/Review","2025-09-04T12:57:47.061Z","2025-09-08T06:01:25.785Z","89.06"
"CS-828","In Progress","2025-09-04T12:21:54.084Z","2025-09-04T12:57:55.328Z","0.60"
"CS-828","Testing/Review","2025-09-04T12:57:55.328Z","2025-09-08T07:14:00.347Z","90.27"
"CS-827","In Progress","2025-09-08T07:19:52.375Z","2025-09-08T07:19:54.868Z","0.00"
"CS-826","In Progress","2025-09-04T07:30:15.651Z","2025-09-04T12:30:34.714Z","5.01"
"CS-826","Testing/Review","2025-09-04T12:30:34.714Z","2025-09-08T07:13:57.844Z","90.72"
"CS-825","In Progress","2025-09-03T15:05:55.456Z","2025-09-04T05:20:44.787Z","14.25"
"CS-824","In Progress","2025-09-04T12:54:12.714Z","2025-09-07T18:39:13.083Z","77.75"
"CS-823","In Progress","2025-09-03T13:54:44.588Z","2025-09-03T13:55:39.847Z","0.02"
"CS-823","Testing/Review","2025-09-03T13:55:39.847Z","2025-09-08T07:13:55.085Z","113.30"
"CS-822","In Progress","2025-09-03T12:00:19.096Z","2025-09-03T13:09:24.304Z","1.15"
"CS-822","Testing/Review","2025-09-03T13:09:24.304Z","2025-09-03T13:22:46.817Z","0.22"
"CS-821","In Progress","2025-09-03T10:48:51.599Z","2025-09-03T13:09:49.856Z","2.35"
"CS-821","Testing/Review","2025-09-03T13:09:49.856Z","2025-09-04T05:20:42.494Z","16.18"
"CS-820","In Progress","2025-09-03T09:39:04.961Z","2025-09-03T13:10:27.491Z","3.52"
"CS-820","Testing/Review","2025-09-03T13:10:27.491Z","2025-09-04T05:20:38.625Z","16.17"
"CS-819","In Progress","2025-09-03T07:24:48.636Z","2025-09-03T13:10:36.778Z","5.76"
"CS-819","Testing/Review","2025-09-03T13:10:36.778Z","2025-09-04T05:20:36.490Z","16.17"
"CS-818","In Progress","2025-09-03T06:39:48.753Z","2025-09-03T06:39:51.004Z","0.00"
"CS-817","In Progress","2025-09-05T16:35:31.485Z","2025-09-08T07:53:33.372Z","63.30"
"CS-817","Testing/Review","2025-09-08T07:53:33.372Z","2025-09-09T14:21:02.065Z","30.46"
"CS-816","In Progress","2025-09-02T13:52:43.002Z","2025-09-02T13:52:47.248Z","0.00"
"CS-816","Testing/Review","2025-09-02T13:52:47.248Z","2025-09-02T13:52:49.676Z","0.00"
"CS-815","In Progress","2025-09-02T13:48:48.231Z","2025-09-02T14:10:28.094Z","0.36"
