"issueKey","status","hoursSpent"
"CS-844","In Progress","0.35"
"CS-843","In Progress","3.61"
"CS-843","Testing/Review","0.71"
"CS-842","In Progress","1.02"
"CS-842","Testing/Review","25.13"
"CS-841","In Progress","4.07"
"CS-841","Testing/Review","24.25"
"CS-839","In Progress","13.47"
"CS-839","Testing/Review","7.17"
"CS-838","In Progress","28.00"
"CS-837","In Progress","0.47"
"CS-837","Testing/Review","0.94"
"CS-836","In Progress","1.01"
"CS-836","Testing/Review","0.94"
"CS-835","In Progress","0.00"
"CS-834","In Progress","3.45"
"CS-834","Testing/Review","52.93"
"CS-833","In Progress","3.74"
"CS-833","Testing/Review","64.31"
"CS-832","In Progress","0.00"
"CS-831","In Progress","0.09"
"CS-831","Testing/Review","1.24"
"CS-830","In Progress","0.00"
"CS-829","In Progress","4.97"
"CS-829","Testing/Review","89.06"
"CS-828","In Progress","0.60"
"CS-828","Testing/Review","90.27"
"CS-827","In Progress","0.00"
"CS-826","In Progress","5.01"
"CS-826","Testing/Review","90.72"
"CS-825","In Progress","14.25"
"CS-824","In Progress","77.75"
"CS-823","In Progress","0.02"
"CS-823","Testing/Review","113.30"
"CS-822","In Progress","1.15"
"CS-822","Testing/Review","0.22"
"CS-821","In Progress","2.35"
"CS-821","Testing/Review","16.18"
"CS-820","In Progress","3.52"
"CS-820","Testing/Review","16.17"
"CS-819","In Progress","5.76"
"CS-819","Testing/Review","16.17"
"CS-818","In Progress","0.00"
"CS-817","In Progress","63.30"
"CS-817","Testing/Review","29.37"
"CS-816","In Progress","0.00"
"CS-816","Testing/Review","0.00"
"CS-815","In Progress","0.36"
"CS-814","In Progress","1.09"
"CS-814","Testing/Review","25.20"
"CS-811","In Progress","88.29"
"CS-811","Testing/Review","0.03"
"CS-809","In Progress","13.26"
"CS-809","Testing/Review","121.73"
"CS-808","In Progress","0.00"
"CS-808","Testing/Review","0.00"
"CS-807","In Progress","0.54"
"CS-807","Testing/Review","1.62"
"CS-806","In Progress","0.79"
"CS-806","Testing/Review","18.23"
"CS-805","In Progress","0.00"
"CS-804","In Progress","0.01"
"CS-803","In Progress","0.00"
"CS-803","Testing/Review","0.00"
"CS-802","In Progress","0.00"
"CS-801","In Progress","0.00"
"CS-800","In Progress","0.06"
"CS-800","Testing/Review","23.29"
"CS-799","In Progress","95.53"
"CS-798","In Progress","23.39"
"CS-797","In Progress","1.17"
"CS-797","Testing/Review","0.12"
"CS-796","In Progress","0.28"
"CS-796","Testing/Review","1.56"
"CS-795","In Progress","13.29"
"CS-795","Testing/Review","5.67"
"CS-794","In Progress","0.00"
"CS-794","Testing/Review","18.97"
"CS-793","In Progress","0.03"
"CS-793","Testing/Review","305.35"
"CS-792","In Progress","0.36"
"CS-792","Testing/Review","24.02"
"CS-791","In Progress","0.00"
"CS-791","Testing/Review","164.47"
"CS-790","In Progress","14.24"
"CS-790","Testing/Review","143.28"
"CS-789","In Progress","10.94"
"CS-789","Testing/Review","264.92"
"CS-788","In Progress","19.46"
"CS-788","Testing/Review","23.94"
"CS-787","In Progress","0.02"
"CS-787","Testing/Review","327.27"
"CS-786","In Progress","0.02"
"CS-786","Testing/Review","49.43"
"CS-785","In Progress","17.56"
"CS-785","Testing/Review","23.98"
"CS-784","In Progress","2.69"
"CS-784","Testing/Review","332.52"
"CS-783","In Progress","10.07"
"CS-783","Testing/Review","125.98"
"CS-782","In Progress","0.03"
"CS-782","Testing/Review","2.16"
"CS-781","In Progress","21.53"
"CS-781","Testing/Review","126.00"
"CS-780","In Progress","0.08"
"CS-780","Testing/Review","148.44"
"CS-779","In Progress","0.83"
"CS-779","Testing/Review","142.58"
"CS-778","In Progress","0.00"
"CS-778","Testing/Review","54.26"
"CS-777","In Progress","0.30"
"CS-777","Testing/Review","33.05"
"CS-776","In Progress","0.06"
"CS-776","Testing/Review","174.06"
"CS-775","In Progress","17.87"
"CS-775","Testing/Review","119.27"
"CS-774","In Progress","0.02"
"CS-774","Testing/Review","55.59"
"CS-773","In Progress","18.87"
"CS-773","Testing/Review","141.24"
"CS-772","In Progress","0.02"
"CS-772","Testing/Review","215.96"
"CS-771","In Progress","0.02"
"CS-771","Testing/Review","73.05"
"CS-770","In Progress","26.70"
"CS-770","Testing/Review","165.61"
"CS-769","In Progress","37.97"
"CS-769","Testing/Review","30.76"
"CS-768","In Progress","48.79"
"CS-767","In Progress","45.12"
"CS-767","Testing/Review","151.93"
"CS-766","In Progress","14.96"
"CS-766","Testing/Review","342.72"
"CS-765","In Progress","1.05"
"CS-765","Testing/Review","358.25"
"CS-764","In Progress","0.00"
"CS-764","Testing/Review","0.00"
